alarm_id,alarm_level,uav_id,reason,area_id,sim_time
ALM_00272,3,UAV_004,enter_no_fly_area,AREA_002,113.0
ALM_00273,3,UAV_003,enter_no_fly_area,AREA_002,113.5
ALM_00274,3,UAV_004,enter_no_fly_area,AREA_002,113.5
ALM_00275,3,UAV_003,enter_no_fly_area,AREA_002,114.0
ALM_00276,3,UAV_004,enter_no_fly_area,AREA_002,114.0
ALM_00277,3,UAV_003,enter_no_fly_area,AREA_002,114.5
ALM_00278,3,UAV_004,enter_no_fly_area,AREA_002,114.5
ALM_00279,3,UAV_003,enter_no_fly_area,AREA_002,115.0
ALM_00280,3,UAV_004,enter_no_fly_area,AREA_002,115.0
ALM_00281,3,UAV_003,enter_no_fly_area,AREA_002,115.5
ALM_00282,3,UAV_004,enter_no_fly_area,AREA_002,115.5
ALM_00283,3,UAV_003,enter_no_fly_area,AREA_002,116.0
ALM_00284,3,UAV_004,enter_no_fly_area,AREA_002,116.0
ALM_00285,3,UAV_003,enter_no_fly_area,AREA_002,116.5
ALM_00286,3,UAV_004,enter_no_fly_area,AREA_002,116.5
ALM_00287,3,UAV_003,enter_no_fly_area,AREA_002,117.0
ALM_00288,3,UAV_004,enter_no_fly_area,AREA_002,117.0
ALM_00289,3,UAV_003,enter_no_fly_area,AREA_002,117.5
ALM_00290,3,UAV_004,enter_no_fly_area,AREA_002,117.5
ALM_00291,3,UAV_003,enter_no_fly_area,AREA_002,118.0
ALM_00292,3,UAV_004,enter_no_fly_area,AREA_002,118.0
ALM_00293,3,UAV_003,enter_no_fly_area,AREA_002,118.5
ALM_00294,3,UAV_004,enter_no_fly_area,AREA_002,118.5
ALM_00295,3,UAV_003,enter_no_fly_area,AREA_002,119.0
ALM_00296,3,UAV_004,enter_no_fly_area,AREA_002,119.0
ALM_00297,3,UAV_003,enter_no_fly_area,AREA_002,119.5
ALM_00298,3,UAV_004,enter_no_fly_area,AREA_002,119.5
ALM_00299,3,UAV_003,enter_no_fly_area,AREA_002,120.0
ALM_00300,3,UAV_004,enter_no_fly_area,AREA_002,120.0
ALM_00301,3,UAV_003,enter_no_fly_area,AREA_002,120.5
ALM_00302,3,UAV_004,enter_no_fly_area,AREA_002,120.5
ALM_00303,3,UAV_003,enter_no_fly_area,AREA_002,121.0
ALM_00304,3,UAV_004,enter_no_fly_area,AREA_002,121.0
ALM_00305,3,UAV_003,enter_no_fly_area,AREA_002,121.5
ALM_00306,3,UAV_004,enter_no_fly_area,AREA_002,121.5
ALM_00307,3,UAV_003,enter_no_fly_area,AREA_002,122.0
ALM_00308,3,UAV_004,enter_no_fly_area,AREA_002,122.0
ALM_00309,3,UAV_003,enter_no_fly_area,AREA_002,122.5
ALM_00310,3,UAV_004,enter_no_fly_area,AREA_002,122.5
ALM_00311,3,UAV_003,enter_no_fly_area,AREA_002,123.0
ALM_00312,3,UAV_004,enter_no_fly_area,AREA_002,123.0
ALM_00313,3,UAV_003,enter_no_fly_area,AREA_002,123.5
ALM_00314,3,UAV_004,enter_no_fly_area,AREA_002,123.5
ALM_00315,3,UAV_003,enter_no_fly_area,AREA_002,124.0
ALM_00316,3,UAV_004,enter_no_fly_area,AREA_002,124.0
ALM_00317,3,UAV_003,enter_no_fly_area,AREA_002,124.5
ALM_00318,3,UAV_004,enter_no_fly_area,AREA_002,124.5
ALM_00319,3,UAV_003,enter_no_fly_area,AREA_002,125.0
ALM_00320,3,UAV_004,enter_no_fly_area,AREA_002,125.0
ALM_00321,3,UAV_003,enter_no_fly_area,AREA_002,125.5
ALM_00322,3,UAV_004,enter_no_fly_area,AREA_002,125.5
ALM_00323,3,UAV_003,enter_no_fly_area,AREA_002,126.0
ALM_00324,3,UAV_004,enter_no_fly_area,AREA_002,126.0
ALM_00325,3,UAV_003,enter_no_fly_area,AREA_002,126.5
ALM_00326,3,UAV_004,enter_no_fly_area,AREA_002,126.5
ALM_00327,3,UAV_003,enter_no_fly_area,AREA_002,127.0
ALM_00328,3,UAV_004,enter_no_fly_area,AREA_002,127.0
ALM_00329,3,UAV_003,enter_no_fly_area,AREA_002,127.5
ALM_00330,3,UAV_004,enter_no_fly_area,AREA_002,127.5
ALM_00331,3,UAV_003,enter_no_fly_area,AREA_002,128.0
ALM_00332,3,UAV_004,enter_no_fly_area,AREA_002,128.0
ALM_00333,3,UAV_003,enter_no_fly_area,AREA_002,128.5
ALM_00334,3,UAV_004,enter_no_fly_area,AREA_002,128.5
ALM_00335,3,UAV_003,enter_no_fly_area,AREA_002,129.0
ALM_00336,3,UAV_004,enter_no_fly_area,AREA_002,129.0
ALM_00337,3,UAV_003,enter_no_fly_area,AREA_002,129.5
ALM_00338,3,UAV_004,enter_no_fly_area,AREA_002,129.5
ALM_00339,3,UAV_003,enter_no_fly_area,AREA_002,130.0
ALM_00340,3,UAV_004,enter_no_fly_area,AREA_002,130.0
ALM_00341,3,UAV_003,enter_no_fly_area,AREA_002,130.5
ALM_00342,3,UAV_004,enter_no_fly_area,AREA_002,130.5
ALM_00343,3,UAV_003,enter_no_fly_area,AREA_002,131.0
ALM_00344,3,UAV_004,enter_no_fly_area,AREA_002,131.0
ALM_00345,3,UAV_003,enter_no_fly_area,AREA_002,131.5
ALM_00346,3,UAV_004,enter_no_fly_area,AREA_002,131.5
ALM_00347,3,UAV_003,enter_no_fly_area,AREA_002,132.0
ALM_00348,3,UAV_004,enter_no_fly_area,AREA_002,132.0
ALM_00349,3,UAV_003,enter_no_fly_area,AREA_002,132.5
ALM_00350,3,UAV_004,enter_no_fly_area,AREA_002,132.5
ALM_00351,3,UAV_003,enter_no_fly_area,AREA_002,133.0
